CustomerID,LastPurchaseDate,Frequency,Monetary,Recency
12348,2011-09-25,3,904.44,75
12349,2011-11-21,1,1757.55,18
12350,2011-02-02,1,334.4,310
12352,2011-11-03,8,2506.04,36
12353,2011-05-19,1,89.0,204
12354,2011-04-21,1,1079.4,232
12355,2011-05-09,1,459.4,214
12356,2011-11-17,3,2811.43,22
12358,2011-12-08,2,1168.06,1
12360,2011-10-18,3,2662.06,52
12361,2011-02-25,1,189.9,287
12363,2011-08-22,2,552.0,109
12364,2011-12-02,4,1313.1,7
12365,2011-02-21,2,641.38,291
12367,2011-12-05,1,168.9,4
12370,2011-10-19,2,1677.67,51
12371,2011-10-26,2,1887.96,44
12372,2011-09-29,3,1298.04,71
12373,2011-02-01,1,364.6,311
12374,2011-11-14,1,742.9300000000001,25
12375,2011-11-29,2,457.5,10
12377,2011-01-28,1,626.6,315
12379,2011-09-19,2,852.24,81
12380,2011-11-18,4,2724.81,21
12381,2011-12-05,5,1845.31,4
12383,2011-06-08,4,1249.84,184
12384,2011-11-11,2,585.27,28
12386,2011-01-06,1,143.0,337
12388,2011-11-24,6,2780.66,15
12390,2011-09-21,1,549.84,79
12391,2011-11-18,1,439.66,21
12393,2011-09-28,4,1582.6000000000001,72
12394,2011-10-07,2,1272.48,63
12397,2011-11-04,2,2409.9,35
12398,2011-10-25,1,1635.6599999999999,45
12399,2011-08-12,4,1108.65,119
12401,2011-02-09,1,84.3,303
12402,2011-01-20,1,225.6,323
12403,2011-10-21,1,427.7,49
12405,2011-07-14,1,1710.39,148
12406,2011-11-17,2,3415.3,22
12407,2011-10-21,5,1708.1200000000001,49
12408,2011-11-07,5,2888.55,32
12410,2011-02-04,2,693.3299999999999,308
12412,2011-09-26,3,1226.88,74
12413,2011-10-04,3,758.1,66
12414,2011-05-06,3,562.41,217
12417,2011-12-06,8,3357.76,3
12418,2011-08-19,1,668.58,112
12420,2011-10-07,1,600.39,63
12421,2011-11-24,4,807.04,15
12422,2011-09-05,3,803.5600000000001,95
12423,2011-12-09,7,1621.38,0
12424,2011-06-30,2,1760.96,162
12425,2011-09-22,1,777.2,78
12426,2011-05-29,1,582.73,194
12427,2011-11-18,2,522.3,21
12429,2011-11-30,3,2468.9,9
12430,2011-10-27,1,256.4,43
12434,2011-09-16,2,806.14,84
12436,2011-09-01,1,509.01,99
12438,2011-11-25,2,2906.85,14
12442,2011-12-06,1,172.06,3
12445,2011-11-17,1,133.4,22
12446,2011-10-13,1,1002.3100000000001,57
12447,2011-04-10,1,476.49,243
