CustomerID,LastPurchaseDate,Frequency,Monetary,Recency,Cluster
12348,2011-09-25,3,904.44,75,Moderate
12349,2011-11-21,1,1757.55,18,Moderate
12350,2011-02-02,1,334.40000000000003,310,At-Risk
12352,2011-11-03,8,2506.04,36,Loyal
12353,2011-05-19,1,89.0,204,At-Risk
12354,2011-04-21,1,1079.4,232,At-Risk
12355,2011-05-09,1,459.4,214,At-Risk
12356,2011-11-17,3,2811.43,22,Loyal
12358,2011-12-08,2,1168.06,1,Moderate
12360,2011-10-18,3,2662.06,52,Loyal
12361,2011-02-25,1,189.9,287,At-Risk
12363,2011-08-22,2,552.0,109,Moderate
12364,2011-12-02,4,1313.1,7,Loyal
12365,2011-02-21,2,641.38,291,At-Risk
12367,2011-12-05,1,168.9,4,Moderate
12370,2011-10-19,2,1677.67,51,Moderate
12371,2011-10-26,2,1887.96,44,Loyal
12372,2011-09-29,3,1298.04,71,Moderate
12373,2011-02-01,1,364.6,311,At-Risk
12374,2011-11-14,1,742.9300000000001,25,Moderate
12375,2011-11-29,2,457.5,10,Moderate
12377,2011-01-28,1,626.6,315,At-Risk
12379,2011-09-19,2,852.24,81,Moderate
12380,2011-11-18,4,2724.81,21,Loyal
12381,2011-12-05,5,1845.31,4,Loyal
12383,2011-06-08,4,1249.84,184,Loyal
12384,2011-11-11,2,585.27,28,Moderate
12386,2011-01-06,1,143.0,337,At-Risk
12388,2011-11-24,6,2780.6600000000003,15,Loyal
12390,2011-09-21,1,549.84,79,Moderate
12391,2011-11-18,1,439.66,21,Moderate
12393,2011-09-28,4,1582.6,72,Loyal
12394,2011-10-07,2,1272.48,63,Moderate
12397,2011-11-04,2,2409.9,35,Loyal
12398,2011-10-25,1,1635.66,45,Moderate
12399,2011-08-12,4,1108.65,119,Loyal
12401,2011-02-09,1,84.3,303,At-Risk
12402,2011-01-20,1,225.6,323,At-Risk
12403,2011-10-21,1,427.7,49,Moderate
12405,2011-07-14,1,1710.39,148,Moderate
12406,2011-11-17,2,3415.3,22,Loyal
12407,2011-10-21,5,1708.12,49,Loyal
12408,2011-11-07,5,2888.55,32,Loyal
12410,2011-02-04,2,693.33,308,At-Risk
12412,2011-09-26,3,1226.88,74,Moderate
12413,2011-10-04,3,758.1,66,Moderate
12414,2011-05-06,3,562.4100000000001,217,At-Risk
12417,2011-12-06,8,3357.76,3,Loyal
12418,2011-08-19,1,668.58,112,Moderate
12420,2011-10-07,1,600.39,63,Moderate
12421,2011-11-24,4,807.04,15,Moderate
12422,2011-09-05,3,803.5600000000001,95,Moderate
12423,2011-12-09,7,1621.38,0,Loyal
12424,2011-06-30,2,1760.96,162,Moderate
12425,2011-09-22,1,777.2,78,Moderate
12426,2011-05-29,1,582.73,194,At-Risk
12427,2011-11-18,2,522.3,21,Moderate
12429,2011-11-30,3,2468.9,9,Loyal
12430,2011-10-27,1,256.4,43,Moderate
12434,2011-09-16,2,806.14,84,Moderate
12436,2011-09-01,1,509.01,99,Moderate
