CustomerID,LastPurchaseDate,Frequency,Monetary,Recency
12362,2011-12-06,10,5226.2300000000005,3
12395,2011-11-20,10,2338.71,19
12415,2011-11-15,21,124914.53,24
12428,2011-11-14,9,7956.46,25
12431,2011-11-04,13,5713.5,35
12437,2011-12-08,18,4951.41,1
12471,2011-12-07,26,15949.69,2
12474,2011-11-22,18,7324.09,17
12476,2011-11-24,10,6803.97,15
12490,2011-12-04,10,5417.93,5
12500,2011-11-16,11,4257.82,23
12523,2011-11-20,11,1789.77,19
12540,2011-11-20,16,12519.23,19
12553,2011-12-01,10,3692.28,8
12569,2011-12-07,32,4124.6900000000005,2
12583,2011-12-07,14,6425.52,2
12584,2011-12-06,9,2338.15,3
12594,2011-11-02,10,3338.2200000000003,37
12619,2011-11-23,9,3641.24,16
12621,2011-12-08,18,12306.02,1
12626,2011-11-16,9,6620.4800000000005,23
12662,2011-12-09,10,3588.3,0
12664,2011-12-01,9,4881.88,8
12678,2011-10-28,10,17407.18,42
12681,2011-11-25,20,11669.43,14
12682,2011-12-06,29,11204.53,3
12683,2011-12-05,13,7413.49,4
12708,2011-11-10,9,2516.4700000000003,29
12709,2011-11-24,13,8390.83,15
12712,2011-11-11,11,3925.5,28
12720,2011-12-07,23,5124.6,2
12731,2011-11-16,11,17824.01,23
12747,2011-12-07,9,3489.7400000000002,2
12748,2011-12-09,174,28868.19,0
12757,2011-11-24,13,7834.650000000001,15
12839,2011-12-07,12,4853.97,2
12841,2011-12-05,23,3485.59,4
12877,2011-12-06,11,1385.71,3
12901,2011-12-01,28,17654.54,8
12921,2011-11-30,35,15899.29,9
12931,2011-11-18,13,41878.96,21
12955,2011-12-08,11,4757.16,1
12971,2011-12-06,81,10753.72,3
12989,2011-12-06,14,6721.61,3
13001,2011-12-05,13,9785.970000000001,4
13004,2011-11-28,17,5298.9,11
13013,2011-12-08,11,3282.6,1
13014,2011-11-29,10,3466.28,10
13018,2011-11-23,28,7277.7,16
13050,2011-11-25,13,4636.99,14
13069,2011-12-09,20,3787.32,0
13078,2011-12-06,24,11746.78,3
13081,2011-11-28,9,25970.6,11
13082,2011-08-05,9,3613.63,126
13089,2011-12-07,89,52808.87,2
13090,2011-12-01,11,7902.42,8
13094,2011-11-18,11,1703.64,21
13097,2011-11-07,9,5698.32,32
13098,2011-12-08,28,28882.44,1
13102,2011-12-08,22,5750.17,1
13113,2011-12-09,23,11872.99,0
13148,2011-11-10,11,3373.86,29
13178,2011-11-13,10,5015.47,26
13183,2011-12-02,9,3957.78,7
13184,2011-11-25,10,1668.95,14
13199,2011-12-06,36,9105.32,3
13230,2011-12-05,13,2662.18,4
13263,2011-12-08,35,7436.93,1
13266,2011-11-28,12,3834.2599999999998,11
13267,2011-12-07,17,3899.19,2
13268,2011-11-22,11,3174.75,17
13269,2011-12-08,13,4681.11,1
13305,2011-12-05,9,1864.66,4
13319,2011-12-04,22,9294.47,5
13324,2011-11-03,9,6471.85,36
13408,2011-12-08,57,25085.84,1
13418,2011-11-28,13,4547.81,11
13426,2011-12-09,9,3304.34,0
13458,2011-12-02,13,8460.710000000001,7
13468,2011-12-08,33,4793.97,1
13488,2011-11-22,12,7586.39,17
13534,2011-12-07,23,5586.88,2
13552,2011-10-04,12,3740.07,66
13571,2011-11-27,12,2088.94,12
13576,2011-11-29,17,6368.1900000000005,10
13588,2011-11-24,9,2478.95,15
13599,2011-12-08,19,4797.08,1
13629,2011-11-16,11,7792.36,23
13631,2011-09-01,11,3070.42,99
13668,2011-12-07,20,6132.17,2
13694,2011-12-06,48,62142.58,3
13695,2011-11-08,15,2504.13,31
13700,2011-11-13,10,2248.63,26
13704,2011-12-04,9,2308.06,5
13709,2011-12-06,13,6307.650000000001,3
13742,2011-11-23,12,3107.87,16
13755,2011-12-06,9,2108.06,3
13756,2011-12-07,11,4185.12,2
13767,2011-12-07,31,14781.0,2
13769,2011-12-07,9,2474.21,2
13777,2011-12-09,23,19015.38,0
13784,2011-11-30,11,2462.79,9
13798,2011-12-08,55,32983.19,1
13854,2011-12-01,23,7500.08,8
13871,2011-11-17,13,6403.25,22
13880,2011-11-18,12,3121.97,21
13881,2011-12-06,20,17159.52,3
13890,2011-12-08,9,1693.46,1
13911,2011-10-13,9,2580.91,57
13969,2011-12-02,17,8706.58,7
13983,2011-11-10,11,2274.07,29
13985,2011-12-05,15,7060.13,4
13993,2011-10-28,9,3466.36,42
13999,2011-11-29,11,3599.71,10
14031,2011-12-02,16,14717.91,7
14032,2011-12-07,9,2356.17,2
14040,2011-10-30,12,3560.32,40
14051,2011-12-09,20,13782.23,0
14056,2011-12-08,23,8152.71,1
14057,2011-11-16,15,5285.74,23
14060,2011-12-05,16,5266.38,4
14062,2011-11-30,9,9020.73,9
14085,2011-12-07,15,3255.8,2
14088,2011-11-29,13,50491.81,10
14092,2011-12-02,12,3475.1800000000003,7
14096,2011-12-05,17,65164.79,4
14099,2011-11-23,10,2720.65,16
14110,2011-12-06,12,5683.15,3
14132,2011-12-07,11,3586.03,2
14135,2011-12-08,11,3743.26,1
14156,2011-11-30,54,116887.88,9
14159,2011-11-20,10,4440.43,19
14180,2011-11-29,21,3852.27,10
14189,2011-12-07,14,4342.84,2
14191,2011-12-08,13,4684.76,1
14194,2011-12-05,21,11349.52,4
14211,2011-10-17,9,2241.1,53
14217,2011-12-08,16,1886.68,1
14221,2011-10-28,9,3432.8,42
14227,2011-11-13,10,3350.96,26
14239,2011-10-27,11,2380.85,43
14258,2011-11-30,9,12669.98,9
14282,2011-12-06,14,3130.44,3
14291,2011-12-08,11,3883.25,1
14292,2011-12-02,9,4871.93,7
14298,2011-12-01,39,46837.84,8
14367,2011-12-01,16,9227.82,8
14397,2011-12-07,19,2612.96,2
14401,2011-12-05,12,3804.1,4
14410,2011-09-08,9,1100.27,92
14415,2011-12-08,12,5002.89,1
14426,2011-11-16,10,4481.67,23
14456,2011-12-04,9,3017.28,5
14462,2011-10-04,11,1980.57,66
14502,2011-11-20,11,2429.83,19
14527,2011-12-07,51,7581.64,2
14534,2011-12-07,18,4397.3,2
14543,2011-11-11,15,3345.33,28
14560,2011-12-02,21,1829.6,7
14562,2011-12-06,18,5006.77,3
14587,2011-11-21,9,1580.29,18
14606,2011-12-08,85,10842.39,1
14607,2011-11-24,14,16209.5,15
14646,2011-12-08,71,271614.14,1
14659,2011-12-01,9,2529.93,8
14667,2011-11-29,20,7203.0,10
14680,2011-11-14,14,25878.71,25
14688,2011-12-02,20,5134.12,7
14701,2011-11-29,9,2526.09,10
14702,2011-12-08,16,2941.34,1
14704,2011-11-28,9,1493.96,11
14709,2011-11-24,12,4606.9400000000005,15
14711,2011-11-29,11,2839.62,10
14713,2011-11-30,9,2236.35,9
14733,2011-11-23,9,5228.6900000000005,16
14735,2011-12-06,31,5813.49,3
14755,2011-11-30,11,5010.28,9
14776,2011-10-19,11,2538.2999999999997,51
14796,2011-12-08,15,6946.67,1
14800,2011-10-23,10,3111.94,47
14810,2011-10-30,10,1907.44,40
14825,2011-12-06,10,1824.5800000000002,3
14849,2011-11-18,20,7363.650000000001,21
14866,2011-11-29,11,14286.220000000001,10
14895,2011-12-02,20,11138.710000000001,7
14911,2011-12-08,188,135973.23,1
14944,2011-11-10,12,5900.25,29
14952,2011-10-11,10,7413.33,59
15005,2011-11-24,26,5824.96,15
15023,2011-12-06,10,6291.01,3
15033,2011-12-05,10,2557.18,4
15039,2011-11-30,45,18474.93,9
15044,2011-11-20,13,5545.18,19
15046,2011-11-30,15,5090.42,9
15058,2011-11-14,11,2102.54,25
15059,2011-10-30,9,1337.72,40
15061,2011-12-06,36,34583.479999999996,3
15078,2011-12-02,28,8924.460000000001,7
15114,2011-11-09,10,2760.56,30
15125,2011-11-14,15,11528.48,25
15129,2011-10-20,11,3447.4,50
15144,2011-12-01,17,6580.4400000000005,8
15150,2011-11-22,10,5291.33,17
15152,2011-11-30,13,4745.69,9
15159,2011-12-08,28,16780.03,1
15187,2011-12-08,16,4777.18,1
15189,2011-12-08,41,16225.39,1
15194,2011-12-06,12,6057.54,3
15218,2011-11-29,11,5756.89,10
15235,2011-05-06,9,1552.8700000000001,217
15249,2011-11-08,13,6688.46,31
15251,2011-11-30,11,10484.99,9
15271,2011-12-02,14,2381.59,7
15281,2011-10-12,9,2332.15,58
15290,2011-12-05,17,7723.62,4
15291,2011-11-14,13,4019.4,25
15298,2011-12-07,11,4402.3,2
15301,2011-10-20,11,4376.58,50
15311,2011-12-09,82,57972.74,0
15358,2011-12-05,20,7722.65,4
15373,2011-12-01,10,1878.81,8
15465,2011-11-20,16,6486.7699999999995,19
15482,2011-11-24,10,10331.32,15
15498,2011-12-07,25,12339.68,2
15502,2011-11-24,9,9455.53,15
15513,2011-11-06,17,13444.72,33
15529,2011-11-17,9,3641.14,22
15547,2011-12-02,13,4143.2300000000005,7
15555,2011-11-27,13,3805.04,12
15570,2011-12-02,9,3100.88,7
15581,2011-08-11,9,3351.91,120
15601,2011-11-28,12,5540.11,11
15606,2011-10-09,9,2920.16,61
15611,2011-11-30,13,1591.45,9
15615,2011-11-29,20,9318.55,10
15622,2011-10-27,9,3709.56,43
15640,2011-12-05,12,9704.37,4
15687,2011-12-01,9,2993.1,8
15694,2011-12-09,11,5632.07,0
15719,2011-11-07,13,5030.07,32
15738,2011-11-21,15,4482.77,18
15769,2011-12-02,25,56160.92,7
15804,2011-12-09,13,4206.39,0
15805,2011-11-16,16,5117.38,23
15827,2011-09-27,12,1645.16,73
15838,2011-11-28,18,32685.58,11
15854,2011-12-05,11,2739.02,4
15856,2011-12-05,24,12862.33,4
15867,2011-12-04,12,3254.17,5
15939,2011-09-11,15,6115.01,89
15955,2011-11-15,13,3843.88,24
15971,2011-11-22,12,4199.85,17
15984,2011-12-07,9,2657.93,2
16011,2011-12-01,14,2954.36,8
16013,2011-12-06,42,34157.6,3
16029,2011-11-01,57,67738.31999999999,38
16033,2011-12-04,18,8471.08,5
16076,2011-12-06,10,2234.73,3
16133,2011-12-06,33,14589.04,3
16145,2011-12-01,10,3496.71,8
16156,2011-12-01,9,3092.04,8
16161,2011-12-08,16,4957.37,1
16168,2011-11-29,26,3511.8,10
16186,2011-11-17,11,3699.2599999999998,22
16187,2011-11-08,15,6911.4400000000005,31
16191,2011-12-07,11,4552.92,2
16210,2011-12-08,14,14085.66,1
16241,2011-11-30,12,2312.66,9
16293,2011-11-18,9,1870.24,21
16326,2011-12-04,14,3039.2200000000003,5
16333,2011-12-02,22,26626.8,7
16353,2011-12-06,19,6165.71,3
16359,2011-12-02,9,1750.92,7
16393,2011-12-07,11,2749.41,2
16401,2011-12-08,12,4098.32,1
16407,2011-11-27,10,2079.68,12
16422,2011-11-22,48,32659.08,17
16426,2011-12-07,10,1863.76,2
16458,2011-12-07,17,3288.84,2
16523,2011-12-08,21,9418.470000000001,1
16525,2011-12-07,24,12225.01,2
