CustomerID,LastPurchaseDate,Frequency,Monetary,Recency
12346,2011-01-18,1,77183.6,325
12347,2011-12-07,6,3598.21,2
12357,2011-11-06,1,6207.67,33
12359,2011-10-13,4,6310.03,57
12362,2011-12-06,10,5226.2300000000005,3
12378,2011-08-02,1,4008.62,129
12409,2011-09-22,3,11072.67,78
12415,2011-11-15,21,124914.53,24
12428,2011-11-14,9,7956.46,25
12431,2011-11-04,13,5713.5,35
12432,2011-10-28,5,5059.32,42
12433,2011-12-09,5,9588.75,0
12435,2011-09-21,2,7829.89,79
12437,2011-12-08,18,4951.41,1
12444,2011-11-18,5,5005.46,21
12449,2011-11-17,4,4067.29,22
12451,2011-11-29,5,9035.52,10
12471,2011-12-07,26,15949.69,2
12472,2011-11-07,6,4940.81,32
12473,2011-11-10,5,3928.05,29
12474,2011-11-22,18,7324.09,17
12476,2011-11-24,10,6803.97,15
12477,2011-11-17,6,13219.74,22
12481,2011-11-17,8,4788.48,22
12484,2011-11-07,6,4527.32,32
12490,2011-12-04,10,5417.93,5
12500,2011-11-16,11,4257.82,23
12502,2011-09-05,5,3723.87,95
12524,2011-11-30,8,4485.72,9
12536,2011-10-27,3,12601.830000000002,43
12539,2011-11-17,4,5568.35,22
12540,2011-11-20,16,12519.23,19
12553,2011-12-01,10,3692.28,8
12557,2011-11-23,4,11370.960000000001,16
12562,2011-12-01,7,3781.7400000000002,8
12567,2011-11-17,8,7458.9,22
12569,2011-12-07,32,4124.6900000000005,2
12583,2011-12-07,14,6425.52,2
12590,2011-05-12,2,9864.26,211
12597,2011-11-20,4,3811.22,19
12619,2011-11-23,9,3641.24,16
12621,2011-12-08,18,12306.02,1
12626,2011-11-16,9,6620.4800000000005,23
12627,2011-11-29,7,4478.53,10
12637,2011-10-03,8,6002.9,67
12656,2011-11-22,5,4051.17,17
12662,2011-12-09,10,3588.3,0
12664,2011-12-01,9,4881.88,8
12678,2011-10-28,10,17407.18,42
12681,2011-11-25,20,11669.43,14
12682,2011-12-06,29,11204.53,3
12683,2011-12-05,13,7413.49,4
12688,2011-08-18,1,4873.81,113
12700,2011-12-02,4,4939.99,7
12705,2011-11-24,8,6010.29,15
12709,2011-11-24,13,8390.83,15
12712,2011-11-11,11,3925.5,28
12714,2011-11-30,5,4708.86,9
12720,2011-12-07,23,5124.6,2
12727,2011-11-29,7,3980.7000000000003,10
12731,2011-11-16,11,17824.01,23
12744,2011-10-19,7,21279.29,51
12748,2011-12-09,174,28868.19,0
12749,2011-12-06,5,4090.88,3
12752,2011-09-19,1,4366.78,81
12753,2011-11-17,5,17838.8,22
12757,2011-11-24,13,7834.650000000001,15
12766,2011-12-06,6,5840.34,3
12779,2011-11-02,7,3733.2,37
12798,2011-11-29,3,6977.04,10
12830,2011-11-02,6,6814.64,37
12839,2011-12-07,12,4853.97,2
12867,2011-11-13,6,3646.55,26
12901,2011-12-01,28,17654.54,8
12921,2011-11-30,35,15899.29,9
12931,2011-11-18,13,41878.96,21
12939,2011-10-06,8,11581.8,64
12949,2011-11-09,8,4167.22,30
12955,2011-12-08,11,4757.16,1
12957,2011-11-30,8,4017.54,9
12971,2011-12-06,81,10753.72,3
12980,2011-07-05,8,6485.58,157
12989,2011-12-06,14,6721.61,3
13001,2011-12-05,13,9785.970000000001,4
13004,2011-11-28,17,5298.9,11
13018,2011-11-23,28,7277.7,16
13027,2011-08-18,5,5472.0,113
13050,2011-11-25,13,4636.99,14
13069,2011-12-09,20,3787.32,0
13078,2011-12-06,24,11746.78,3
13081,2011-11-28,9,25970.6,11
13082,2011-08-05,9,3613.63,126
13089,2011-12-07,89,52808.87,2
13090,2011-12-01,11,7902.42,8
13093,2011-03-09,5,4036.96,275
13097,2011-11-07,9,5698.32,32
13098,2011-12-08,28,28882.44,1
13102,2011-12-08,22,5750.17,1
13113,2011-12-09,23,11872.99,0
13137,2011-11-29,8,3603.29,10
13139,2011-11-23,7,5064.9400000000005,16
13178,2011-11-13,10,5015.47,26
13183,2011-12-02,9,3957.78,7
13199,2011-12-06,36,9105.32,3
13209,2011-11-09,7,5572.76,30
13225,2011-12-06,6,5257.12,3
13263,2011-12-08,35,7436.93,1
13266,2011-11-28,12,3834.2599999999998,11
13267,2011-12-07,17,3899.19,2
13269,2011-12-08,13,4681.11,1
13316,2011-11-02,4,5732.93,37
13319,2011-12-04,22,9294.47,5
13324,2011-11-03,9,6471.85,36
13340,2011-10-25,7,10736.48,45
13381,2011-11-08,6,3639.31,31
13384,2011-11-09,7,4151.93,30
13408,2011-12-08,57,25085.84,1
13418,2011-11-28,13,4547.81,11
13435,2011-12-04,7,3809.89,5
13458,2011-12-02,13,8460.710000000001,7
13468,2011-12-08,33,4793.97,1
13488,2011-11-22,12,7586.39,17
13505,2011-09-28,4,4393.63,72
13534,2011-12-07,23,5586.88,2
13552,2011-10-04,12,3740.07,66
13555,2011-09-27,4,4098.88,73
13576,2011-11-29,17,6368.1900000000005,10
13599,2011-12-08,19,4797.08,1
13629,2011-11-16,11,7792.36,23
13668,2011-12-07,20,6132.17,2
13680,2011-12-08,4,3719.12,1
13694,2011-12-06,48,62142.58,3
13709,2011-12-06,13,6307.650000000001,3
13756,2011-12-07,11,4185.12,2
13767,2011-12-07,31,14781.0,2
13777,2011-12-09,23,19015.38,0
13798,2011-12-08,55,32983.19,1
13802,2011-07-24,3,4599.42,138
13815,2011-11-17,4,4027.36,22
13854,2011-12-01,23,7500.08,8
13871,2011-11-17,13,6403.25,22
13881,2011-12-06,20,17159.52,3
13941,2011-11-18,4,4017.84,21
13969,2011-12-02,17,8706.58,7
13985,2011-12-05,15,7060.13,4
13988,2011-11-20,6,4147.96,19
13999,2011-11-29,11,3599.71,10
14004,2011-10-27,7,4582.64,43
14016,2011-07-01,3,3587.47,161
14031,2011-12-02,16,14717.91,7
14049,2011-11-23,4,5578.72,16
14051,2011-12-09,20,13782.23,0
14056,2011-12-08,23,8152.71,1
14057,2011-11-16,15,5285.74,23
14060,2011-12-05,16,5266.38,4
14062,2011-11-30,9,9020.73,9
14088,2011-11-29,13,50491.81,10
14096,2011-12-05,17,65164.79,4
14101,2011-09-27,6,5976.79,73
14110,2011-12-06,12,5683.15,3
14132,2011-12-07,11,3586.03,2
14135,2011-12-08,11,3743.26,1
14145,2011-10-24,4,3742.2,46
14156,2011-11-30,54,116887.88,9
14159,2011-11-20,10,4440.43,19
14180,2011-11-29,21,3852.27,10
14189,2011-12-07,14,4342.84,2
14191,2011-12-08,13,4684.76,1
14194,2011-12-05,21,11349.52,4
14258,2011-11-30,9,12669.98,9
14277,2011-11-24,3,4188.0,15
14286,2011-11-16,3,4628.75,23
14291,2011-12-08,11,3883.25,1
14292,2011-12-02,9,4871.93,7
14298,2011-12-01,39,46837.84,8
14329,2011-11-22,7,4975.24,17
14364,2011-08-23,8,3717.35,108
14367,2011-12-01,16,9227.82,8
14390,2011-11-29,8,4418.87,10
14401,2011-12-05,12,3804.1,4
14415,2011-12-08,12,5002.89,1
14422,2011-12-09,6,4263.64,0
14426,2011-11-16,10,4481.67,23
14505,2011-11-22,7,4820.83,17
14525,2011-11-20,8,3753.6,19
14527,2011-12-07,51,7581.64,2
14534,2011-12-07,18,4397.3,2
14547,2011-12-06,8,3974.75,3
14562,2011-12-06,18,5006.77,3
14606,2011-12-08,85,10842.39,1
14607,2011-11-24,14,16209.5,15
14646,2011-12-08,71,271614.14,1
14667,2011-11-29,20,7203.0,10
14680,2011-11-14,14,25878.71,25
14688,2011-12-02,20,5134.12,7
14709,2011-11-24,12,4606.9400000000005,15
14733,2011-11-23,9,5228.6900000000005,16
14735,2011-12-06,31,5813.49,3
14755,2011-11-30,11,5010.28,9
14769,2011-12-07,7,10069.97,2
14796,2011-12-08,15,6946.67,1
14849,2011-11-18,20,7363.650000000001,21
14866,2011-11-29,11,14286.220000000001,10
14895,2011-12-02,20,11138.710000000001,7
14911,2011-12-08,188,135973.23,1
14936,2011-11-06,8,8137.02,33
14944,2011-11-10,12,5900.25,29
14952,2011-10-11,10,7413.33,59
14961,2011-11-29,7,5861.9800000000005,10
15005,2011-11-24,26,5824.96,15
15023,2011-12-06,10,6291.01,3
15039,2011-11-30,45,18474.93,9
15044,2011-11-20,13,5545.18,19
15046,2011-11-30,15,5090.42,9
15061,2011-12-06,36,34583.479999999996,3
15078,2011-12-02,28,8924.460000000001,7
15093,2011-11-21,5,3973.29,18
15098,2011-06-10,3,39916.5,182
15125,2011-11-14,15,11528.48,25
15144,2011-12-01,17,6580.4400000000005,8
15150,2011-11-22,10,5291.33,17
15152,2011-11-30,13,4745.69,9
15159,2011-12-08,28,16780.03,1
15187,2011-12-08,16,4777.18,1
15189,2011-12-08,41,16225.39,1
15194,2011-12-06,12,6057.54,3
15195,2011-12-07,1,3861.0,2
15218,2011-11-29,11,5756.89,10
15249,2011-11-08,13,6688.46,31
15251,2011-11-30,11,10484.99,9
15290,2011-12-05,17,7723.62,4
15291,2011-11-14,13,4019.4,25
15296,2011-10-20,6,3672.86,50
15298,2011-12-07,11,4402.3,2
15301,2011-10-20,11,4376.58,50
15311,2011-12-09,82,57972.74,0
15358,2011-12-05,20,7722.65,4
15382,2011-11-25,6,5955.71,14
15416,2011-10-06,4,3984.32,64
15465,2011-11-20,16,6486.7699999999995,19
15482,2011-11-24,10,10331.32,15
15484,2011-12-08,4,3590.41,1
15498,2011-12-07,25,12339.68,2
15502,2011-11-24,9,9455.53,15
15505,2011-10-18,5,3610.96,52
15513,2011-11-06,17,13444.72,33
15529,2011-11-17,9,3641.14,22
15547,2011-12-02,13,4143.2300000000005,7
15555,2011-11-27,13,3805.04,12
15601,2011-11-28,12,5540.11,11
15615,2011-11-29,20,9318.55,10
15622,2011-10-27,9,3709.56,43
15640,2011-12-05,12,9704.37,4
15694,2011-12-09,11,5632.07,0
15719,2011-11-07,13,5030.07,32
15727,2011-11-23,6,3642.11,16
15738,2011-11-21,15,4482.77,18
15749,2011-04-18,3,44534.3,235
15769,2011-12-02,25,56160.92,7
15786,2011-10-24,3,4919.0,46
15804,2011-12-09,13,4206.39,0
15805,2011-11-16,16,5117.38,23
15838,2011-11-28,18,32685.58,11
15845,2011-11-22,8,3711.77,17
15856,2011-12-05,24,12862.33,4
15874,2011-10-07,7,4405.88,63
15903,2011-11-30,7,5126.76,9
15939,2011-09-11,15,6115.01,89
15955,2011-11-15,13,3843.88,24
15971,2011-11-22,12,4199.85,17
16000,2011-12-07,3,12393.7,2
16013,2011-12-06,42,34157.6,3
16029,2011-11-01,57,67738.31999999999,38
16033,2011-12-04,18,8471.08,5
16126,2011-11-10,4,6287.77,29
16133,2011-12-06,33,14589.04,3
16161,2011-12-08,16,4957.37,1
16180,2011-08-31,8,10254.18,100
16182,2011-09-28,4,6617.65,72
16186,2011-11-17,11,3699.2599999999998,22
16187,2011-11-08,15,6911.4400000000005,31
16191,2011-12-07,11,4552.92,2
16210,2011-12-08,14,14085.66,1
16240,2011-11-15,2,3718.8,24
16242,2011-12-01,7,3579.86,8
16253,2011-10-04,2,3683.86,66
16258,2011-10-25,5,5203.51,45
16265,2011-11-30,7,4606.1900000000005,9
16303,2011-11-14,3,5360.63,25
16333,2011-12-02,22,26626.8,7
16353,2011-12-06,19,6165.71,3
16401,2011-12-08,12,4098.32,1
16422,2011-11-22,48,32659.08,17
16440,2011-12-02,5,3640.67,7
16446,2011-12-09,2,168472.5,0
16523,2011-12-08,21,9418.470000000001,1
16525,2011-12-07,24,12225.01,2
16532,2011-11-22,3,6748.8,17
16549,2011-11-29,10,4034.9,10
16553,2011-06-29,10,4110.38,163
16558,2011-12-09,18,7457.9400000000005,0
16570,2011-11-24,10,3738.4,15
16592,2011-12-05,16,4113.68,4
16609,2011-11-24,7,5493.46,15
16626,2011-12-09,17,4413.1,0
16652,2011-10-12,7,6773.97,58
16655,2011-11-22,6,3789.52,17
16656,2011-11-17,14,8197.04,22
16670,2011-11-23,10,3692.29,16
16672,2011-12-07,20,8134.9400000000005,2
16684,2011-12-05,24,63540.16,4
16700,2011-12-01,12,4739.61,8
16701,2011-12-01,12,4921.54,8
16705,2011-12-09,18,12903.27,0
16712,2011-11-30,11,3611.31,9
16713,2011-11-21,13,6152.24,18
16722,2011-11-22,11,3931.29,17
16729,2011-11-01,21,7205.33,38
16745,2011-09-14,17,7180.7,86
16746,2011-12-05,17,6368.47,4
16767,2011-11-09,11,5575.56,30
16779,2011-12-07,20,9923.89,2
16814,2011-11-25,20,6143.41,14
16839,2011-12-01,33,16042.11,8
16843,2011-10-28,16,10196.57,42
16873,2011-12-05,5,4965.9800000000005,4
16923,2011-11-27,18,6518.58,12
16931,2011-12-04,19,4190.21,5
16945,2011-11-18,18,4065.65,21
16984,2011-09-12,2,4459.52,88
16985,2011-11-22,9,4530.8,17
17001,2011-12-09,10,3591.61,0
17017,2011-12-07,15,6336.62,2
17049,2011-12-07,9,5655.03,2
17061,2011-09-27,11,5232.2300000000005,73
17068,2011-11-27,19,4254.6900000000005,12
17107,2011-11-06,6,10797.48,33
17133,2011-11-24,7,4892.240000000001,15
17139,2011-11-24,12,10650.77,15
17173,2011-12-04,8,3766.6,5
17243,2011-12-08,23,7711.9,1
17306,2011-11-29,18,8307.31,10
17315,2011-12-08,37,6172.31,1
17338,2011-11-22,7,5725.9400000000005,17
17340,2011-11-10,9,7992.900000000001,29
17364,2011-12-09,11,4462.68,0
17365,2011-11-27,8,4767.36,12
17381,2011-12-01,26,16671.89,8
17389,2011-12-09,34,31833.68,0
17396,2011-10-31,7,6933.3,39
17404,2011-12-05,13,28072.52,4
17416,2011-11-10,7,6893.42,29
17419,2011-11-28,10,3852.3,11
17426,2011-12-01,6,5037.26,8
17428,2011-12-09,26,16362.9,0
17450,2011-12-01,44,192361.95,8
17509,2011-10-13,8,6083.64,57
17511,2011-12-07,28,84351.3,2
17528,2011-12-08,8,3628.5,1
17567,2011-12-02,7,3813.53,7
17581,2011-12-09,23,10238.46,0
17602,2011-12-07,6,5054.42,2
17611,2011-12-02,14,3716.93,7
17613,2011-11-17,14,4544.55,22
17651,2011-11-28,10,3945.0,11
17652,2011-11-14,12,4867.72,25
17675,2011-12-08,29,19355.16,1
17677,2011-12-08,26,14728.78,1
17686,2011-12-02,7,5739.46,7
17690,2011-11-09,11,4038.9,30
17706,2011-12-05,14,10026.66,4
17716,2011-11-17,11,5655.99,22
17719,2011-11-02,15,5396.04,37
17730,2011-12-06,13,5298.4800000000005,3
17735,2011-12-07,18,12655.42,2
17757,2011-12-08,26,5027.59,1
17769,2011-11-27,10,3957.43,12
17809,2011-11-23,9,4160.41,16
17811,2011-12-05,39,7761.82,4
17841,2011-12-08,118,38051.72,1
17857,2011-12-05,21,25538.34,4
17858,2011-12-04,10,3598.81,5
17865,2011-11-09,18,9446.49,30
17940,2011-10-21,10,4020.04,49
17949,2011-12-08,44,57196.48,1
17975,2011-11-24,11,3861.77,15
18055,2011-12-02,7,5010.22,7
18073,2011-08-17,12,3859.82,114
