Frequency,Monetary,Recency
3,904.44,75
1,1757.55,18
1,334.40000000000003,310
8,2506.04,36
1,89.0,204
1,1079.4,232
1,459.40000000000003,214
3,2811.43,22
2,1168.06,1
3,2662.06,52
1,189.9,287
2,552.0,109
4,1313.1,7
2,641.38,291
1,168.9,4
2,1677.67,51
2,1887.96,44
3,1298.04,71
1,364.6,311
1,742.9300000000001,25
2,457.5,10
1,626.6,315
2,852.24,81
4,2724.81,21
5,1845.31,4
4,1249.84,184
2,585.27,28
1,143.0,337
6,2780.6600000000003,15
1,549.84,79
1,439.66,21
4,1582.6000000000001,72
2,1272.48,63
10,2338.71,19
2,2409.9,35
1,1635.6599999999999,45
4,1108.65,119
1,84.3,303
1,225.60000000000002,323
1,427.7,49
1,1710.39,148
2,3415.3,22
5,1708.12,49
5,2888.55,32
2,693.33,308
3,1226.88,74
3,758.1,66
3,562.4100000000001,217
8,3357.76,3
1,668.58,112
1,600.39,63
4,807.04,15
3,803.5600000000001,95
7,1621.38,0
2,1760.96,162
1,777.2,78
1,582.73,194
2,522.3,21
3,2468.9,9
1,256.4,43
2,806.14,84
1,509.01,99
2,2906.85,14
1,172.06,3
1,133.4,22
1,1002.3100000000001,57
1,476.49,243
1,449.45,44
2,197.88,156
2,430.57000000000005,16
1,707.09,134
1,3528.34,56
6,2466.86,73
3,3181.04,44
7,2363.23,66
2,947.4,71
2,826.88,94
2,1189.59,18
4,1344.78,53
8,1212.05,10
2,742.19,17
2,729.54,187
1,723.38,53
1,680.99,3
1,527.2,11
4,3281.63,28
8,2484.98,17
3,1298.66,9
1,334.93,336
1,460.40000000000003,38
2,263.21000000000004,63
2,433.74,165
5,1183.55,15
1,1043.1,81
3,403.70000000000005,21
1,2169.39,336
2,482.04999999999995,18
1,73.5,232
3,1304.81,134
2,397.88,26
1,176.5,284
2,982.5699999999999,142
2,132.18,66
1,612.29,112
1,1017.6800000000001,267
2,1312.06,77
5,2481.6,28
5,2056.89,0
1,330.84000000000003,63
5,2634.26,79
1,599.68,142
2,192.72,39
11,1789.77,19
3,1316.66,0
3,348.71000000000004,81
6,1933.48,9
4,1662.28,59
1,125.22,14
1,349.83000000000004,30
1,1089.18,130
2,716.35,91
1,363.95,29
3,981.18,29
1,372.7,36
2,1000.39,75
2,1161.5,46
2,207.8,197
1,95.19999999999999,166
1,964.83,79
2,437.82,38
2,599.56,50
1,269.96,7
2,561.71,310
3,2134.01,5
1,238.85,302
1,456.90000000000003,261
1,145.92000000000002,288
1,351.65,86
2,519.61,39
2,1020.4200000000001,8
1,160.54000000000002,227
1,218.45000000000002,315
5,1315.83,35
2,430.71,35
2,2794.51,21
1,440.42,78
1,415.7,246
1,197.71,39
2,511.36,238
9,2338.15,3
1,777.25,234
1,196.94000000000003,17
1,144.0,7
1,214.89999999999998,39
2,646.68,28
1,452.84999999999997,317
2,437.6,92
3,418.1,108
10,3338.2200000000003,37
2,618.27,51
8,3023.08,9
7,1032.58,29
8,2324.24,28
5,577.0600000000001,189
1,153.12,58
1,739.1999999999999,21
2,254.18,79
1,1579.51,60
3,1126.85,78
5,2099.54,22
1,1193.32,52
1,704.04,74
5,3344.38,57
1,315.6,277
4,2291.19,2
2,713.3,95
1,352.98,29
1,177.31,21
3,1339.41,14
1,180.1,232
1,305.1,276
2,641.13,106
2,2683.82,211
3,786.46,4
2,1270.88,9
1,640.5,57
4,2163.98,58
2,1689.18,89
1,671.69,33
1,486.1,238
3,1174.58,23
1,185.9,115
3,1013.26,25
6,3344.64,128
1,477.90999999999997,129
4,1775.18,33
2,1346.97,4
8,2529.22,22
1,318.05,154
3,623.51,107
1,314.44,3
1,114.0,334
1,919.98,331
2,2209.85,148
5,601.98,10
4,1643.18,11
1,686.05,18
1,91.68,29
1,245.10000000000002,11
1,63.0,324
1,620.13,58
3,3337.28,11
3,2744.0299999999997,150
5,2996.05,10
1,225.9,329
2,610.52,5
4,1970.6,38
6,1331.39,24
4,1113.02,58
4,880.81,0
7,2283.63,7
6,2863.08,28
2,1247.6100000000001,25
1,389.01,205
5,855.8,28
4,855.91,127
2,869.67,70
4,582.1,7
3,957.59,28
2,797.71,79
1,219.0,19
1,283.55,71
8,2340.84,7
1,603.42,291
9,2516.4700000000003,29
3,1149.02,96
1,848.55,0
1,343.36,106
2,1053.49,3
2,1030.98,151
1,238.25,71
2,644.95,5
5,2369.53,31
4,997.63,85
5,725.07,3
4,1031.41,5
6,2438.82,28
4,836.33,71
1,453.01,113
1,236.26000000000002,179
1,383.95,234
2,779.5699999999999,315
1,234.0,332
2,1013.04,78
1,427.6,63
2,540.13,134
9,3489.7400000000002,2
1,275.88,128
3,3010.74,235
1,17.549999999999997,280
1,112.08,86
2,2791.59,116
3,1531.44,52
2,1898.52,7
1,174.0,138
1,1693.88,316
1,1143.6,238
1,1351.45,210
1,892.47,59
5,1386.04,17
6,822.23,19
2,826.74,63
4,1867.42,4
6,2225.91,2
2,532.82,9
3,463.66,9
1,91.85,65
1,324.92,192
1,400.54,256
1,413.68,334
2,860.41,53
1,430.48,18
1,427.58,186
2,354.25,36
1,489.31,177
3,514.85,260
1,229.64000000000001,44
1,125.92,101
2,1063.46,147
2,572.2,95
1,166.04000000000002,281
1,1542.08,261
4,942.34,3
1,92.72,214
2,948.88,70
5,1759.5,74
1,397.12,59
6,1319.72,2
3,430.15,5
6,1018.71,2
1,207.25,336
1,215.05,262
2,383.03000000000003,32
1,417.38,145
1,312.38,282
4,2610.36,59
1,134.1,173
1,281.16,33
4,2726.77,143
23,3485.59,4
2,1118.99,70
8,1702.26,65
2,325.96000000000004,29
4,354.09000000000003,267
1,843.64,22
2,1010.29,31
1,131.81,96
1,311.55,294
6,1957.1000000000001,134
3,1316.25,78
6,2170.78,7
2,1106.4,210
1,521.2,52
1,147.12,138
2,1568.23,26
1,559.12,283
5,1403.76,185
2,380.64,84
1,221.44,326
1,374.0,282
1,49.470000000000006,143
2,2218.02,57
11,1385.71,3
2,854.99,236
3,573.22,44
1,298.0,275
2,1463.04,9
4,703.47,24
1,309.05,88
3,1175.22,63
2,1378.4,67
2,354.12,214
1,376.71999999999997,24
3,331.0,185
1,176.55,30
2,372.8,42
2,216.5,204
1,138.68,264
2,496.06,18
5,2919.81,11
2,750.0,176
5,2178.67,39
8,3075.04,23
5,1662.3,2
4,2066.01,4
1,164.0,148
4,2944.95,138
1,594.0,128
6,1335.19,8
1,162.78,17
1,405.38,161
1,172.82,64
4,933.7,88
2,694.05,4
4,1670.3600000000001,35
1,117.85,311
2,415.8,78
3,607.53,24
7,2160.7,2
4,1063.9,17
4,1504.27,15
1,114.14,25
2,899.69,54
2,416.85,131
1,317.56,35
1,462.95,288
5,1299.95,143
7,2064.95,16
3,1843.0,2
6,1064.07,8
4,1387.79,5
1,329.85,9
1,108.07,306
2,266.39,7
7,1490.83,8
1,769.8100000000001,89
1,160.18,9
1,135.95,112
4,405.47,7
1,144.8,197
1,738.6,211
1,39.239999999999995,156
2,372.21999999999997,29
1,390.54,242
1,97.5,18
2,1239.38,0
2,558.7,73
1,505.82,292
3,409.5,31
2,503.76,23
4,414.76,23
3,974.42,4
1,211.32,85
4,1226.89,22
3,455.88,196
2,333.1,106
1,120.95,318
3,149.05,105
2,513.7,173
1,81.57,56
1,229.47,323
8,1646.8400000000001,9
11,3282.6,1
10,3466.28,10
5,3339.64,53
3,789.89,73
1,204.0,7
8,2459.03,4
2,689.9,64
5,975.36,1
2,661.3199999999999,22
2,865.0,30
1,350.08,11
2,1010.1800000000001,52
1,476.91,54
2,921.88,73
3,881.07,138
3,908.46,80
2,676.99,8
1,516.42,273
1,560.47,291
1,305.28000000000003,99
2,629.31,30
7,2870.91,31
4,1819.41,14
2,656.6800000000001,64
1,348.15000000000003,212
3,1214.41,78
3,271.40000000000003,24
1,183.4,249
1,307.53000000000003,253
1,248.61,72
1,346.98,191
4,1105.59,12
2,470.8,24
1,115.46000000000001,82
2,344.0,10
1,228.8,192
1,177.15,266
1,919.61,129
3,414.3,1
5,220.10000000000002,4
1,58.08,179
2,303.75,4
2,416.08,157
1,345.82,28
4,292.38,70
11,1703.64,21
1,74.39999999999999,70
1,207.36,99
1,101.19,234
1,243.94,39
5,996.72,3
1,76.5,133
4,1531.6200000000001,44
2,786.54,59
7,1488.67,31
4,2294.78,11
1,501.14,138
6,596.76,21
5,1197.81,19
1,30.6,238
1,283.73,269
2,922.39,94
2,2500.01,89
6,1876.2,4
1,259.17,77
1,64.0,94
3,1073.3,23
1,77.3,261
2,109.8,273
4,1793.58,85
1,3096.0,196
5,2607.61,56
5,769.16,22
2,264.21,108
5,2388.75,84
1,307.09000000000003,19
1,110.95,332
3,323.52,39
1,228.91,26
4,712.8,10
11,3373.86,29
4,1676.06,14
1,1257.8700000000001,295
1,486.22,5
3,592.06,33
4,1741.22,49
4,1201.06,94
4,1429.35,8
1,91.8,22
1,112.75,313
4,1688.29,122
1,666.8399999999999,46
1,417.2,283
4,791.33,18
4,1299.59,36
2,712.88,63
1,108.81,26
3,468.41,21
1,187.71,4
2,1373.76,16
1,481.49,46
1,282.45,64
